,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Credit_History,Property_Area,Loan_Status,LoanAmount_log,Total_Income,Total_Income_log,EMI,EMI_log,Balance Income,Balance_Income_log
0,0,0,0,1,0,128.0,1.0,2,1,4.852030263919617,5849.0,8.674025985443025,12.5568,2.5302623515087976,4593.32,8.432358353137706
1,0,1,1,1,0,128.0,1.0,0,0,4.852030263919617,6091.0,8.714567550836485,12.5568,2.5302623515087976,4835.32,8.483702589771783
2,0,1,0,1,1,66.0,1.0,2,1,4.189654742026425,3000.0,8.006367567650246,6.4746,1.867886829615606,2352.54,7.76325087450308
3,0,1,0,0,0,120.0,1.0,2,1,4.787491742782046,4941.0,8.50532301884575,11.772,2.4657238303712266,3763.8,8.233184364330752
4,0,0,0,1,0,141.0,1.0,2,1,4.948759890378168,6000.0,8.699514748210191,13.8321,2.6269919779673487,4616.79,8.437454937391985
5,0,1,2,1,1,267.0,1.0,2,1,5.58724865840025,9613.0,9.170871628065816,26.1927,3.26548074598943,6993.73,8.852769312359989
6,0,1,0,0,0,95.0,1.0,2,1,4.553876891600541,3849.0,8.255568653283746,9.3195,2.232108979189721,2917.05,7.978328110619001
7,0,1,3,1,0,158.0,0.0,1,0,5.062595033026967,5540.0,8.61974977974133,15.4998,2.740827120616147,3990.02,8.291551522402674
8,0,1,2,1,0,168.0,1.0,2,1,5.123963979403259,5532.0,8.61830469278465,16.4808,2.802196066992439,3883.92,8.26460023187674
9,0,1,1,1,0,349.0,1.0,1,0,5.855071922202427,23809.0,10.077818939438902,34.2369,3.5333040097916073,20385.31,9.922569822397964
10,0,1,2,1,0,70.0,1.0,2,1,4.248495242049359,3900.0,8.268731832117737,6.867000000000001,1.9267273296385394,3213.3,8.075053725438694
11,0,1,2,1,0,109.0,1.0,2,1,4.6913478822291435,4340.0,8.375629627094451,10.692900000000002,2.369579969818324,3270.71,8.092762365705259
12,0,1,2,1,0,200.0,1.0,2,1,5.298317366548036,11179.0,9.321792297270326,19.62,2.976549454137217,9217.0,9.128804883993665
13,0,0,0,1,0,114.0,1.0,0,0,4.736198448394496,4693.0,8.453827315794417,11.1834,2.414430535983676,3574.66,8.181625345710247
14,0,1,2,1,0,17.0,1.0,2,1,2.833213344056216,2385.0,7.776954403322442,1.6677000000000002,0.5114454316453966,2218.23,7.7044648595584935
15,0,0,0,1,0,125.0,1.0,2,1,4.8283137373023015,4950.0,8.507142855562735,12.262500000000001,2.5065458248914814,3723.75,8.222486504027492
16,0,0,1,0,0,100.0,1.0,2,1,4.605170185988092,3596.0,8.18757739559151,9.810000000000002,2.283402273577272,2615.0,7.869019376499023
17,1,0,0,1,0,76.0,0.0,2,0,4.330733340286331,3510.0,8.163371316459912,7.4556000000000004,2.0089654278755114,2764.44,7.924593361798562
18,0,1,0,0,0,133.0,1.0,0,0,4.890349128221754,4887.0,8.494333897270154,13.047299999999998,2.568581215810934,3582.2700000000004,8.183751956664384
19,0,1,0,1,0,115.0,1.0,2,1,4.74493212836325,6100.0,8.716044050161402,11.2815,2.4231642159524305,4971.85,8.511547283229412
20,0,1,0,0,0,104.0,0.0,2,0,4.6443908991413725,7660.0,8.943767262734637,10.202399999999999,2.322622986730553,6639.76,8.800831097238936
21,0,1,1,1,0,315.0,1.0,2,1,5.752572638825633,11580.0,9.357034751126987,30.901500000000002,3.4308047264148134,8489.85,9.046626611304792
22,0,1,0,0,0,116.0,0.0,1,0,4.7535901911063645,4511.0,8.414274137408396,11.3796,2.431822278695545,3373.04,8.123569693870671
23,0,1,2,0,0,112.0,0.0,0,0,4.718498871295094,5282.0,8.572060092857077,10.987200000000001,2.396730958884275,4183.28,8.338850906806567
24,0,1,1,1,0,151.0,1.0,1,0,5.017279836814924,6642.0,8.801168401936692,14.8131,2.6955119244041046,5160.6900000000005,8.548825570465995
25,0,1,0,1,1,191.0,1.0,1,1,5.25227342804663,9560.0,9.165343006045447,18.737099999999998,2.93050551563581,7686.29,8.947193501352366
